article_id,title,category,system_id,status,last_reviewed,owner,resolution_summary,tags
KB-001,Reset an expired password,Identity & Access,SYS-008,Published,2026-06-30,Sofia Alvarez,Verify identity; use self-service reset; sign out and in; never share passwords.,password|vpn|hardware|application|security|identity-&-access
KB-002,Refresh VPN credentials after password change,Network & VPN,SYS-007,Published,2026-06-30,Mateusz Kowalski,Disconnect VPN; remove cached credentials; sign in with the new password; escalate lockouts.,password|vpn|hardware|application|security|network-&-vpn
KB-003,Enroll a replacement MFA device,Identity & Access,SYS-008,Published,2026-06-30,Sofia Alvarez,Verify identity using an approved method; revoke old device; enroll replacement; confirm sign-in.,password|vpn|hardware|application|security|identity-&-access
KB-004,Unlock a user account,Identity & Access,SYS-008,Published,2026-06-30,Sofia Alvarez,Check lockout source; verify identity; unlock; require password reset if compromise is suspected.,password|vpn|hardware|application|security|identity-&-access
KB-005,Connect to warehouse Wi-Fi,Network & VPN,SYS-014,Published,2026-06-30,Mateusz Kowalski,Confirm managed device; renew certificate; forget and reconnect; check access-point health.,password|vpn|hardware|application|security|network-&-vpn
KB-006,Troubleshoot slow office Wi-Fi,Network & VPN,SYS-014,Published,2026-06-30,Mateusz Kowalski,Check outage dashboard; capture location and time; test wired connection; escalate widespread impact.,password|vpn|hardware|application|security|network-&-vpn
KB-007,Replace a damaged laptop,Hardware,SYS-015,Published,2026-06-30,Liam O'Connor,Record asset ID and damage; back up if safe; obtain approval; issue replacement; update inventory.,password|vpn|hardware|application|security|hardware
KB-008,Fix a docking station display issue,Hardware,SYS-015,Published,2026-06-30,Liam O'Connor,Reseat cables; power-cycle dock; update firmware; test alternate cable and monitor.,password|vpn|hardware|application|security|hardware
KB-009,Restore a Zebra label printer,Hardware,SYS-013,Published,2026-06-30,Liam O'Connor,Check media and queue; restart print service; calibrate; escalate hardware faults.,password|vpn|hardware|application|security|hardware
KB-010,Re-enroll a barcode scanner,Hardware,SYS-003,Published,2026-06-30,Liam O'Connor,Confirm asset ID; connect to managed Wi-Fi; enroll in device manager; sync WMS profile.,password|vpn|hardware|application|security|hardware
KB-011,Request RiceFlow ERP access,Business Applications,SYS-002,Published,2026-06-30,Aisha Rahman,Require manager and data-owner approval; apply least privilege; record approval in ticket.,password|vpn|hardware|application|security|business-applications
KB-012,Resolve RiceFlow invoice export errors,Business Applications,SYS-002,Published,2026-06-30,Aisha Rahman,Validate date and entity; retry export; capture error ID; escalate data-integrity issues.,password|vpn|hardware|application|security|business-applications
KB-013,Fix GrainTrack inventory sync,Business Applications,SYS-003,Published,2026-06-30,Aisha Rahman,Check service status; identify affected warehouse; preserve transaction IDs; avoid manual duplication.,password|vpn|hardware|application|security|business-applications
KB-014,Request ExportHub CRM access,Business Applications,SYS-004,Published,2026-06-30,Aisha Rahman,Obtain manager approval; assign role template; validate customer-data scope; confirm access.,password|vpn|hardware|application|security|business-applications
KB-015,Upload a CertiRice certificate,Business Applications,SYS-005,Published,2026-06-30,Aisha Rahman,Validate file type and shipment ID; check permissions; retry; preserve compliance record.,password|vpn|hardware|application|security|business-applications
KB-016,Troubleshoot ShipLink tracking,Business Applications,SYS-006,Published,2026-06-30,Aisha Rahman,Check carrier status; validate container reference; refresh integration; avoid duplicate bookings.,password|vpn|hardware|application|security|business-applications
KB-017,Restore a deleted SharePoint file,Collaboration,SYS-010,Published,2026-06-30,Aisha Rahman,Check recycle bin and retention; restore correct version; confirm permissions; escalate legal hold.,password|vpn|hardware|application|security|collaboration
KB-018,Fix Teams microphone problems,Collaboration,SYS-011,Published,2026-06-30,Liam O'Connor,Select correct input; check OS permission; test call; update driver; try browser client.,password|vpn|hardware|application|security|collaboration
KB-019,Report a phishing message,Security,SYS-016,Published,2026-06-30,Yuki Tanaka,Do not click; use report-phishing button; preserve message; reset credentials if entered; escalate immediately.,password|vpn|hardware|application|security|security
KB-020,Respond to a suspicious login,Security,SYS-008,Published,2026-06-30,Yuki Tanaka,Revoke sessions; reset password; verify MFA; preserve logs; open security incident.,password|vpn|hardware|application|security|security
KB-021,Handle a lost company device,Security,SYS-015,Published,2026-06-30,Yuki Tanaka,Record asset and last location; remote lock; notify Security and manager; assess data exposure.,password|vpn|hardware|application|security|security
KB-022,Request software installation,Service Request,SYS-015,Published,2026-06-30,Liam O'Connor,Confirm business need and license; verify approved catalog; deploy through Endpoint Manager.,password|vpn|hardware|application|security|service-request
KB-023,Onboard a new employee,Service Request,SYS-008,Published,2026-06-30,Sofia Alvarez,Require HR record and manager; create account; assign baseline access and device; verify MFA.,password|vpn|hardware|application|security|service-request
KB-024,Offboard an employee,Security,SYS-008,Published,2026-06-30,Yuki Tanaka,Confirm HR request; disable access at effective time; revoke sessions; preserve data; recover assets.,password|vpn|hardware|application|security|security
KB-025,Declare a major IT incident,Incident Management,SYS-020,Published,2026-06-30,Mateusz Kowalski,Confirm multi-user impact; appoint incident lead; publish status; track timeline; conduct review.,password|vpn|hardware|application|security|incident-management
