asset_id,asset_type,model,serial_number,assigned_employee_id,location,status,purchase_date,warranty_end,operating_system
AST-001,Monitor,Dell P2422H,KRK260073,EMP-014,Kraków Headquarters,In service,2022-02-02,2025-02-02,Not applicable
AST-002,Barcode Scanner,Zebra TC52,KRK260146,EMP-035,Kraków Operations Centre,In service,2023-03-03,2026-03-03,Android 13
AST-003,Windows Laptop,HP EliteBook 840,KRK260219,EMP-040,Kraków Operations Centre,In service,2024-04-04,2027-04-04,Windows 11 Enterprise
AST-004,Docking Station,Lenovo USB-C Dock Gen 2,KRK260292,EMP-053,Kraków Operations Centre,In service,2025-05-05,2024-05-05,Not applicable
AST-005,Label Printer,Zebra ZD421,KRK260365,EMP-038,Kraków Operations Centre,In service,2021-06-06,2025-06-06,Firmware managed
AST-006,Warehouse Tablet,Samsung Tab Active4 Pro,KRK260438,EMP-039,Kraków Operations Centre,In service,2022-07-07,2026-07-07,Android 13
AST-007,Windows Laptop,Lenovo ThinkPad T14,KRK260511,EMP-092,Kraków Headquarters,In service,2023-08-08,2027-08-08,Windows 11 Enterprise
AST-008,Monitor,LG 27BN65Q,KRK260584,EMP-005,Kraków Headquarters,In service,2024-09-09,2024-09-09,Not applicable
AST-009,Barcode Scanner,Zebra TC52,KRK260657,Shared,Kraków Operations Centre,In service,2025-10-10,2025-10-10,Android 13
AST-010,Windows Laptop,Lenovo ThinkPad T14,KRK260730,EMP-031,Kraków Headquarters,In service,2021-11-11,2026-11-11,Windows 11 Enterprise
AST-011,Docking Station,Lenovo USB-C Dock Gen 2,KRK260803,Shared,Kraków Operations Centre,In service,2022-12-12,2027-12-12,Not applicable
AST-012,Label Printer,Zebra ZD421,KRK260876,EMP-045,Kraków Operations Centre,In service,2023-01-13,2024-01-13,Firmware managed
AST-013,Warehouse Tablet,Zebra ET45,KRK260949,EMP-046,Kraków Operations Centre,In service,2024-02-14,2025-02-14,Android 13
AST-014,Windows Laptop,HP EliteBook 840,KRK261022,EMP-083,Kraków Operations Centre,In service,2025-03-15,2026-03-15,Windows 11 Enterprise
AST-015,Monitor,Dell P2422H,KRK261095,EMP-096,Remote - Poland,In service,2021-04-16,2027-04-16,Not applicable
AST-016,Barcode Scanner,Honeywell CT45,KRK261168,EMP-049,Kraków Operations Centre,In service,2022-05-17,2024-05-17,Android 13
AST-017,Windows Laptop,HP EliteBook 840,KRK261241,EMP-022,Kraków Headquarters,In service,2023-06-18,2025-06-18,Windows 11 Enterprise
AST-018,Docking Station,Dell WD19S,KRK261314,EMP-035,Kraków Operations Centre,In service,2024-07-19,2026-07-19,Not applicable
